packageNum_Ana,patlama1,patlama2,Irtifa_basinc_Ana,GPSIrtifa_Ana,basinc_Ana,X_jiro,Y_jiro,Z_jiro,X_ivme,Y_ivme,Z_ivme,Aci_Ana,GPSe_Ana,GPSb_Ana,GPSSatNum_ana,packageNum_Gorev,GPSIrtifa_Gorev,sicaklik_Gorev,nem_Gorev,basinc_Gorev,GPSe_Gorev,GPSb_Gorev,GPSSatNum_Gorev
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
83,0,0,911.074523,0.000000,908.489990,354.312500,-1.187500,-3.562500,-0.610000,9.350001,0.220000,-1.187500,0.000000,0.000000,0,141,0.000000,30.034673,28.966682,90909.000000,0.000000,0.000000,0
